Zone	Depth (m)	Degree (°)	F.S.	displacement (mm)
G1	1	20°	4.473	9.998
G1	2	20°	2.774	17.15
G1	3	20°	2.028	23.05
G1	4	20°	1.639	27.72
G1	5	20°	1.414	31.55
G1	6	20°	1.275	35.27
G1	7	20°	1.192	42.58
G1	8	20°	Fail	Fail
G1	9	20°	Fail	Fail
G1	10	20°	Fail	Fail
G1	1	30°	4.361	8.355
G1	2	30°	2.692	15.87
G1	3	30°	1.96	22.76
G1	4	30°	1.557	28.73
G1	5	30°	1.295	34.84
G1	6	30°	1.135	45.34
G1	7	30°	1.022	88.19
G1	8	30°	Fail	Fail
G1	9	30°	Fail	Fail
G1	10	30°	Fail	Fail
G1	1	40°	4.308	10.06
G1	2	40°	2.645	17.65
G1	3	40°	1.918	24.94
G1	4	40°	1.513	31.95
G1	5	40°	1.254	40.25
G1	6	40°	1.077	62.34
G1	7	40°	Fail	Fail
G1	8	40°	Fail	Fail
G1	9	40°	Fail	Fail
G1	10	40°	Fail	Fail
G1	1	50°	4.241	10.07
G1	2	50°	2.586	17.74
G1	3	50°	1.857	25.7
G1	4	50°	1.462	33.61
G1	5	50°	1.204	47.22
G1	6	50°	1.029	95.7
G1	7	50°	Fail	Fail
G1	8	50°	Fail	Fail
G1	9	50°	Fail	Fail
G1	10	50°	Fail	Fail
G1	1	60°	3.987	10.08
G1	2	60°	2.458	17.81
G1	3	60°	1.785	26.48
G1	4	60°	1.392	36.07
G1	5	60°	1	52.78
G1	6	60°	Fail	Fail
G1	7	60°	Fail	Fail
G1	8	60°	Fail	Fail
G1	9	60°	Fail	Fail
G1	10	60°	Fail	Fail
G1	1	70°	3.885	10.09
G1	2	70°	2.336	17.89
G1	3	70°	1.654	27.5
G1	4	70°	1.31	42.15
G1	5	70°	1.063	74.86
G1	6	70°	Fail	Fail
G1	7	70°	Fail	Fail
G1	8	70°	Fail	Fail
G1	9	70°	Fail	Fail
G1	10	70°	Fail	Fail
G1	1	80°	3.642	10
G1	2	80°	2.181	18.19
G1	3	80°	1.535	28.59
G1	4	80°	1.179	47.97
G1	5	80°	Fail	Fail
G1	6	80°	Fail	Fail
G1	7	80°	Fail	Fail
